home_teams,away_teams
air-force,boise-state
alabama,mississippi-state
army,louisiana-monroe
ball-state,eastern-michigan
baylor,kansas
buffalo,toledo
california,washington
central-michigan,bowling-green-state
charlotte,florida-international
clemson,syracuse
colorado-state,hawaii
east-carolina,central-florida
james-madison,marshall
kent-state,akron
liberty,brigham-young
louisiana-lafayette,arkansas-state
louisiana-state,mississippi
louisiana-tech,rice
louisville,pittsburgh
maryland,northwestern
miami-fl,duke
miami-oh,western-michigan
missouri,vanderbilt
navy,houston
nevada,san-diego-state
new-mexico,fresno-state
new-mexico-state,san-jose-state
notre-dame,nevada-las-vegas
ohio,northern-illinois
ohio-state,iowa
oklahoma-state,texas
old-dominion,georgia-southern
oregon,ucla
oregon-state,colorado
penn-state,minnesota
rutgers,indiana
south-carolina,texas-am
southern-methodist,cincinnati
stanford,arizona-state
texas-christian,kansas-state
texas-el-paso,florida-atlantic
texas-san-antonio,north-texas
texas-state,southern-mississippi
texas-tech,west-virginia
tulane,memphis
wake-forest,boston-college
wisconsin,purdue
wyoming,utah-state
temple,tulsa
western-kentucky,alabama-birmingham
georgia-tech,virginia
south-alabama,troy
appalachian-state,georgia-state
